aX,aY,aZ,gX,gY,gZ
0.622,-0.609,-0.398,12.268,23.987,14.282
0.620,-0.568,-0.383,13.062,20.325,11.658
0.615,-0.551,-0.343,13.916,15.991,7.629
0.625,-0.564,-0.289,16.174,11.902,2.991
0.625,-0.570,-0.220,19.592,8.484,-0.427
0.628,-0.594,-0.200,18.738,7.751,-2.441
0.627,-0.583,-0.240,15.320,9.155,-3.113
0.629,-0.601,-0.272,11.719,8.179,-4.089
0.633,-0.691,-0.233,7.080,3.235,-6.226
0.643,-0.722,-0.222,3.113,0.122,-4.822
0.640,-0.719,-0.203,-0.793,-1.770,-2.258
0.657,-0.738,-0.121,-4.395,-5.493,-1.038
0.673,-0.731,-0.066,-5.005,-6.165,0.366
0.678,-0.698,-0.048,-2.197,-3.723,1.343
0.685,-0.696,-0.048,0.122,-1.343,0.000
0.684,-0.720,-0.076,1.587,1.526,-1.587
0.682,-0.756,-0.099,2.991,3.540,-2.319
0.687,-0.760,-0.103,5.737,3.662,-2.197
0.679,-0.796,-0.102,6.104,3.601,-2.258
0.676,-0.839,-0.117,3.479,4.456,-1.709
0.673,-0.840,-0.125,1.343,4.944,1.526
0.675,-0.798,-0.126,0.061,4.700,5.432
0.678,-0.745,-0.143,-0.977,5.188,7.996
0.677,-0.708,-0.178,-1.282,5.920,8.545
0.675,-0.727,-0.175,-0.122,5.188,6.836
0.668,-0.749,-0.144,1.892,3.967,5.676
0.666,-0.758,-0.139,1.709,4.944,6.409
0.659,-0.736,-0.180,0.244,7.141,7.751
0.656,-0.707,-0.219,-0.793,7.751,8.423
0.656,-0.702,-0.219,-1.526,6.042,7.751
0.657,-0.689,-0.214,-2.319,4.944,7.202
0.660,-0.658,-0.218,-1.648,4.883,6.714
0.658,-0.649,-0.213,0.183,4.761,4.822


0.895,-1.055,-0.778,-10.071,-9.644,18.066
0.906,-1.125,-0.926,-7.874,-9.705,19.531
0.910,-1.245,-1.124,-6.714,-9.399,21.057
0.893,-1.281,-1.220,-1.038,-17.151,27.588
0.903,-1.181,-1.240,8.179,-30.212,38.452
0.916,-1.105,-1.302,11.292,-40.405,46.753
0.901,-1.091,-1.440,5.066,-47.546,52.185
0.869,-1.057,-1.599,-3.601,-56.702,59.753
0.825,-0.987,-1.683,-9.888,-73.181,67.749
0.748,-0.913,-1.659,-11.902,-95.886,72.510
0.731,-0.838,-1.516,-14.099,-119.995,75.989
0.708,-0.751,-1.356,-15.259,-138.550,80.750
0.687,-0.630,-1.283,-13.977,-147.339,83.679
0.633,-0.538,-1.254,-11.902,-153.625,84.656
0.585,-0.503,-1.193,-12.634,-161.377,82.642
0.565,-0.490,-1.027,-12.024,-171.326,82.214
0.564,-0.481,-0.872,-7.751,-176.086,82.031
0.521,-0.466,-0.905,-1.831,-169.983,81.116
0.477,-0.439,-1.014,5.005,-162.781,78.674
0.426,-0.448,-1.022,15.259,-164.307,74.158
0.361,-0.520,-0.862,26.917,-170.776,67.688
0.310,-0.606,-0.634,39.429,-172.424,61.890
0.261,-0.629,-0.432,52.368,-164.185,58.533
0.116,-0.662,-0.376,59.814,-144.714,56.824
-0.137,-0.725,-0.370,67.688,-123.352,54.871
-0.370,-0.643,-0.330,87.769,-115.295,54.321
-0.587,-0.655,-0.223,109.985,-122.437,48.218
-0.871,-0.906,-0.133,129.272,-141.663,39.734
-1.326,-1.441,0.250,147.827,-186.523,37.720
-1.804,-2.118,1.347,167.725,-273.499,55.420
