aX,aY,aZ,gX,gY,gZ
-0.366,-0.123,-0.903,0.916,1.709,-2.930
-0.375,-0.139,-0.904,1.404,3.052,-2.930
-0.382,-0.135,-0.926,2.747,4.761,-2.258
-0.384,-0.128,-0.951,4.028,4.944,-1.892
-0.389,-0.134,-0.956,4.517,3.784,-1.953
-0.397,-0.147,-0.948,4.211,2.441,-2.075
-0.401,-0.149,-0.946,4.333,1.831,-1.648
-0.401,-0.142,-0.952,4.700,1.770,-0.732
-0.399,-0.136,-0.949,3.967,1.587,-0.366
-0.400,-0.140,-0.935,2.075,1.343,-0.305
-0.400,-0.141,-0.931,1.526,1.648,0.183
-0.399,-0.128,-0.933,1.709,2.502,0.854
-0.394,-0.114,-0.938,2.014,3.174,0.854
-0.391,-0.108,-0.937,2.625,2.930,0.427
-0.392,-0.125,-0.937,2.808,2.319,-0.549
-0.395,-0.141,-0.932,2.930,1.465,-1.038
-0.394,-0.140,-0.940,3.784,1.587,0.000
-0.389,-0.118,-0.962,4.822,2.014,1.221
-0.384,-0.101,-0.978,4.517,1.526,1.770
-0.382,-0.090,-0.971,2.747,0.244,1.770
-0.380,-0.090,-0.946,0.366,-1.038,1.221
-0.380,-0.099,-0.913,-1.526,-1.465,0.122
-0.382,-0.116,-0.898,-2.136,-1.038,-0.610
-0.384,-0.124,-0.901,-1.221,0.061,-0.854
-0.387,-0.131,-0.915,-0.183,0.977,-0.854
-0.390,-0.140,-0.924,0.488,1.221,-0.427
-0.391,-0.139,-0.934,0.977,0.916,0.183
-0.393,-0.127,-0.953,1.770,1.282,1.221
-0.391,-0.113,-0.970,2.014,1.282,1.953
-0.390,-0.108,-0.974,0.916,0.549,1.831
-0.388,-0.112,-0.962,-0.183,-0.793,1.404

-0.972,-0.091,-2.449,26.855,281.189,25.635
-1.314,-0.234,-3.212,-20.203,279.358,28.320
-1.291,-0.337,-3.563,-59.998,233.521,39.795
-1.062,-0.205,-3.204,-98.633,143.311,61.462
-0.802,-0.045,-2.479,-115.417,60.547,72.754
-0.633,0.033,-1.952,-99.365,5.737,66.833
-0.524,0.017,-1.420,-68.237,-43.152,48.340
-0.416,-0.082,-0.976,-25.574,-84.351,26.672
-0.382,-0.160,-0.657,12.207,-99.792,11.414
-0.381,-0.218,-0.498,39.490,-90.393,2.502
-0.347,-0.181,-0.539,64.331,-64.392,0.549
-0.300,-0.043,-0.684,77.454,-37.292,3.845
-0.240,0.031,-0.732,68.909,-23.315,2.991
-0.209,0.038,-0.686,50.049,-17.395,-1.404
-0.206,0.025,-0.637,32.532,-9.399,-5.005
-0.218,-0.006,-0.629,17.578,1.892,-8.057
-0.247,-0.040,-0.692,5.676,16.541,-9.705
-0.283,-0.069,-0.815,-4.700,31.067,-9.949
-0.327,-0.102,-0.919,-17.029,41.321,-9.583
-0.349,-0.154,-0.968,-29.480,45.227,-9.094
-0.372,-0.179,-0.987,-33.936,46.509,-7.141
-0.385,-0.170,-1.058,-30.640,48.706,-4.517
